CodeC,country,Country Code,year,time_period,obs_value,sex,Region,Sub-region
GUY2000Mal,Guyana,GUY,2000,01/01/2000,72,Male,Americas,Latin America and the Caribbean
GUY2000Tot,Guyana,GUY,2000,01/01/2000,78,Total,Americas,Latin America and the Caribbean
HTI2000Fem,Haiti,HTI,2000,01/01/2000,27,Female,Americas,Latin America and the Caribbean
HTI2000Mal,Haiti,HTI,2000,01/01/2000,25,Male,Americas,Latin America and the Caribbean
HTI2000Tot,Haiti,HTI,2000,01/01/2000,26,Total,Americas,Latin America and the Caribbean
IRN2000Tot,"Iran, Islamic Republic of",IRN,2000,01/01/2000,93,Total,Asia,Southern Asia
IRQ2000Tot,Iraq,IRQ,2000,01/01/2000,76,Total,Asia,Western Asia
JAM2000Tot,Jamaica,JAM,2000,01/01/2000,39,Total,Americas,Latin America and the Caribbean
LAO2000Fem,Lao People's Democratic Republic,LAO,2000,01/01/2000,37,Female,Asia,South-eastern Asia
LAO2000Mal,Lao People's Democratic Republic,LAO,2000,01/01/2000,36,Male,Asia,South-eastern Asia
LAO2000Tot,Lao People's Democratic Republic,LAO,2000,01/01/2000,36,Total,Asia,South-eastern Asia
LBN2000Fem,Lebanon,LBN,2000,01/01/2000,76.4,Female,Asia,Western Asia
LBN2000Mal,Lebanon,LBN,2000,01/01/2000,71.8,Male,Asia,Western Asia
LBN2000Tot,Lebanon,LBN,2000,01/01/2000,73.6,Total,Asia,Western Asia
LSO2000Fem,Lesotho,LSO,2000,01/01/2000,50,Female,Africa,Sub-Saharan Africa
LSO2000Mal,Lesotho,LSO,2000,01/01/2000,49,Male,Africa,Sub-Saharan Africa
LSO2000Tot,Lesotho,LSO,2000,01/01/2000,49,Total,Africa,Sub-Saharan Africa
MDG2000Fem,Madagascar,MDG,2000,01/01/2000,44,Female,Africa,Sub-Saharan Africa
MDG2000Mal,Madagascar,MDG,2000,01/01/2000,50,Male,Africa,Sub-Saharan Africa
MDG2000Tot,Madagascar,MDG,2000,01/01/2000,47,Total,Africa,Sub-Saharan Africa
MWI2000Fem,Malawi,MWI,2000,01/01/2000,27,Female,Africa,Sub-Saharan Africa
MWI2000Mal,Malawi,MWI,2000,01/01/2000,26,Male,Africa,Sub-Saharan Africa
MWI2000Tot,Malawi,MWI,2000,01/01/2000,27,Total,Africa,Sub-Saharan Africa
MNG2000Fem,Mongolia,MNG,2000,01/01/2000,78,Female,Asia,Eastern Asia
MNG2000Mal,Mongolia,MNG,2000,01/01/2000,78,Male,Asia,Eastern Asia
MNG2000Tot,Mongolia,MNG,2000,01/01/2000,78,Total,Asia,Eastern Asia
MMR2000Fem,Burma,MMR,2000,01/01/2000,46,Female,Asia,South-eastern Asia
MMR2000Mal,Burma,MMR,2000,01/01/2000,50,Male,Asia,South-eastern Asia
MMR2000Tot,Burma,MMR,2000,01/01/2000,48,Total,Asia,South-eastern Asia
NAM2000Fem,Namibia,NAM,2000,01/01/2000,53,Female,Africa,Sub-Saharan Africa
NAM2000Mal,Namibia,NAM,2000,01/01/2000,54,Male,Africa,Sub-Saharan Africa
NAM2000Tot,Namibia,NAM,2000,01/01/2000,53,Total,Africa,Sub-Saharan Africa
NER2000Fem,Niger,NER,2000,01/01/2000,27.9,Female,Africa,Sub-Saharan Africa
NER2000Mal,Niger,NER,2000,01/01/2000,26.3,Male,Africa,Sub-Saharan Africa
NER2000Tot,Niger,NER,2000,01/01/2000,27.1,Total,Africa,Sub-Saharan Africa
PER2000Fem,Peru,PER,2000,01/01/2000,59,Female,Americas,Latin America and the Caribbean
PER2000Mal,Peru,PER,2000,01/01/2000,57,Male,Americas,Latin America and the Caribbean
PER2000Tot,Peru,PER,2000,01/01/2000,58,Total,Americas,Latin America and the Caribbean
MDA2000Tot,"Moldova, Republic of",MDA,2000,01/01/2000,78,Total,Europe,Eastern Europe
RWA2000Fem,Rwanda,RWA,2000,01/01/2000,15,Female,Africa,Sub-Saharan Africa
RWA2000Mal,Rwanda,RWA,2000,01/01/2000,16,Male,Africa,Sub-Saharan Africa
RWA2000Tot,Rwanda,RWA,2000,01/01/2000,16,Total,Africa,Sub-Saharan Africa
STP2000Fem,Sao Tome and Principe,STP,2000,01/01/2000,46,Female,Africa,Sub-Saharan Africa
STP2000Mal,Sao Tome and Principe,STP,2000,01/01/2000,46,Male,Africa,Sub-Saharan Africa
STP2000Tot,Sao Tome and Principe,STP,2000,01/01/2000,47,Total,Africa,Sub-Saharan Africa
SEN2000Fem,Senegal,SEN,2000,01/01/2000,23,Female,Africa,Sub-Saharan Africa
SEN2000Mal,Senegal,SEN,2000,01/01/2000,30,Male,Africa,Sub-Saharan Africa
SEN2000Tot,Senegal,SEN,2000,01/01/2000,27,Total,Africa,Sub-Saharan Africa
SLE2000Fem,Sierra Leone,SLE,2000,01/01/2000,48,Female,Africa,Sub-Saharan Africa
SLE2000Mal,Sierra Leone,SLE,2000,01/01/2000,51,Male,Africa,Sub-Saharan Africa
SLE2000Tot,Sierra Leone,SLE,2000,01/01/2000,50,Total,Africa,Sub-Saharan Africa
PSE2000Tot,"Palestinian Territory, Occupied",PSE,2000,01/01/2000,65,Total,Asia,Western Asia
SUR2000Fem,Suriname,SUR,2000,01/01/2000,60,Female,Americas,Latin America and the Caribbean
SUR2000Mal,Suriname,SUR,2000,01/01/2000,56,Male,Americas,Latin America and the Caribbean
SUR2000Tot,Suriname,SUR,2000,01/01/2000,58,Total,Americas,Latin America and the Caribbean
TJK2000Fem,Tajikistan,TJK,2000,01/01/2000,55,Female,Asia,Central Asia
TJK2000Mal,Tajikistan,TJK,2000,01/01/2000,45,Male,Asia,Central Asia
TJK2000Tot,Tajikistan,TJK,2000,01/01/2000,51,Total,Asia,Central Asia
TGO2000Fem,Togo,TGO,2000,01/01/2000,24,Female,Africa,Sub-Saharan Africa
TGO2000Mal,Togo,TGO,2000,01/01/2000,35,Male,Africa,Sub-Saharan Africa
TGO2000Tot,Togo,TGO,2000,01/01/2000,30,Total,Africa,Sub-Saharan Africa
TTO2000Tot,Trinidad and Tobago,TTO,2000,01/01/2000,74,Total,Americas,Latin America and the Caribbean
TUN2000Tot,Tunisia,TUN,2000,01/01/2000,43,Total,Africa,Northern Africa
VEN2000Fem,"Venezuela, Bolivarian Republic of",VEN,2000,01/01/2000,70,Female,Americas,Latin America and the Caribbean
VEN2000Mal,"Venezuela, Bolivarian Republic of",VEN,2000,01/01/2000,74,Male,Americas,Latin America and the Caribbean
VEN2000Tot,"Venezuela, Bolivarian Republic of",VEN,2000,01/01/2000,72,Total,Americas,Latin America and the Caribbean
VNM2000Fem,Viet Nam,VNM,2000,01/01/2000,60,Female,Asia,South-eastern Asia
VNM2000Mal,Viet Nam,VNM,2000,01/01/2000,61,Male,Asia,South-eastern Asia
VNM2000Tot,Viet Nam,VNM,2000,01/01/2000,60,Total,Asia,South-eastern Asia
BEN2001Fem,Benin,BEN,2001,01/01/2001,34,Female,Africa,Sub-Saharan Africa
BEN2001Mal,Benin,BEN,2001,01/01/2001,36.2,Male,Africa,Sub-Saharan Africa
BEN2001Tot,Benin,BEN,2001,01/01/2001,35.1,Total,Africa,Sub-Saharan Africa
BOL2001Tot,"Bolivia, Plurinational State of",BOL,2001,01/01/2001,45.8,Total,Americas,Latin America and the Caribbean
COD2001Fem,"Congo, the Democratic Republic of the",COD,2001,01/01/2001,36,Female,Africa,Sub-Saharan Africa
COD2001Mal,"Congo, the Democratic Republic of the",COD,2001,01/01/2001,35,Male,Africa,Sub-Saharan Africa
COD2001Tot,"Congo, the Democratic Republic of the",COD,2001,01/01/2001,36,Total,Africa,Sub-Saharan Africa
GAB2001Fem,Gabon,GAB,2001,01/01/2001,44,Female,Africa,Sub-Saharan Africa
GAB2001Mal,Gabon,GAB,2001,01/01/2001,51,Male,Africa,Sub-Saharan Africa
GAB2001Tot,Gabon,GAB,2001,01/01/2001,48,Total,Africa,Sub-Saharan Africa
MDV2001Fem,Maldives,MDV,2001,01/01/2001,22,Female,Asia,Southern Asia
MDV2001Mal,Maldives,MDV,2001,01/01/2001,23,Male,Asia,Southern Asia
MDV2001Tot,Maldives,MDV,2001,01/01/2001,22,Total,Asia,Southern Asia
MLI2001Fem,Mali,MLI,2001,01/01/2001,33,Female,Africa,Sub-Saharan Africa
MLI2001Mal,Mali,MLI,2001,01/01/2001,38,Male,Africa,Sub-Saharan Africa
MLI2001Tot,Mali,MLI,2001,01/01/2001,36,Total,Africa,Sub-Saharan Africa
MRT2001Fem,Mauritania,MRT,2001,01/01/2001,38,Female,Africa,Sub-Saharan Africa
MRT2001Mal,Mauritania,MRT,2001,01/01/2001,43,Male,Africa,Sub-Saharan Africa
MRT2001Tot,Mauritania,MRT,2001,01/01/2001,41,Total,Africa,Sub-Saharan Africa
NPL2001Fem,Nepal,NPL,2001,01/01/2001,23,Female,Asia,Southern Asia
